date,tmax_C,tmin_C,rain_mm,hum%_9AM,hum%_3PM,windsp_9AM,winddir_9AM,windsp_3PM,winddir_3PM
01/01/2019,30,16.8,0,69,34,4,90,4,90
02/01/2019,31.7,17.7,0,66,38,2,90,7,70
03/01/2019,31.8,18.4,0,44,39,4,230,8,20
04/01/2019,29.7,20.2,0,55,39,5.5,360,7,160
05/01/2019,30.8,19.2,0,57,37,7,140,12,140
06/01/2019,32.8,18.9,0.1,42,25,6,140,3,140
07/01/2019,30.3,19.4,0,75,41,9,270,7,360
08/01/2019,30.5,18.2,0,83,27,6,270,4,290
09/01/2019,31.1,17,0,66,23,3,250,6,70
10/01/2019,32,19.1,0,79,24,6,320,8,70
11/01/2019,32.2,18.4,0,64,22,4,270,11,50
12/01/2019,32.4,16.3,0,47,19,3,270,4,110
13/01/2019,33,16.2,0,51,15,2,250,4,110
14/01/2019,33.2,16.7,0,41,18,5,270,4,90
15/01/2019,31.2,18.3,0.2,77,63,9,270,6,20
16/01/2019,27.8,18.9,0,74,60,2,270,6,270
17/01/2019,31.4,16,0,92,48,4,140,6,270
18/01/2019,30.5,18.4,0,81,25,4,320,4,140
19/01/2019,32.5,17.6,0,69,27,4,270,7,360
20/01/2019,32,18.5,0,68,19,9,270,2,70
21/01/2019,33.2,18,0,70,13,5,250,6,20
22/01/2019,33,17.5,0,64,21,1,270,6,270
23/01/2019,32.8,18.3,0,59,22,5,270,4,20
24/01/2019,32.6,19,0,57,27,4,250,10,140
25/01/2019,33.2,19,0,59,32,3,270,10,140
26/01/2019,33,19.2,0,80,23,9,270,8,140
27/01/2019,34,19.1,0.099,55,18,4,140,6,270
28/01/2019,33.8,18.2,0,79,38,5,290,6,290
29/01/2019,29.5,19.2,6.8,67,76,4,250,6,320
30/01/2019,32,18.5,0,66,27,4,320,10,90
31/01/2019,33.3,19,0,62,19,4,250,10,90
01/02/2019,33.4,18.2,0,63,22,6,250,6,110
02/02/2019,33.8,19.4,0,67,18,3,230,6,140
03/02/2019,34.2,19.2,0,64,18,6,270,8,90
04/02/2019,34.5,17.9,0,60,15,2,270,6,20
05/02/2019,33.5,19.7,0,61,25,4,290,4,90
06/02/2019,32.5,19.6,0,75,31,11,270,4,90
07/02/2019,32.7,19.7,0,73,36,6,180,9,140
08/02/2019,33.3,19.4,2,74,26,5,270,6,110
